X	Y	Z	CUT	DENSITY	ZONE
-60	0	10	1.251398108	2.798021525	2
-60	10	-10	5.497519165	1.800376869	2
-60	10	0	3.010924872	1.637616113	2
-60	10	10	5.485282018	2.178121218	2
-60	20	0	2.935282476	2.626134422	2
-60	20	10	4.447372261	1.941010841	2
-50	-120	0	0.940680917	2.720580324	2
-50	-120	10	4.994300568	1.978686291	2
-50	-110	0	0.821403108	2.225969771	2
-50	-110	10	0.623289675	3.250351918	2
-50	-100	-10	1.597899172	3.485582172	2
-50	-100	0	3.752162948	2.032264064	2
-50	-100	10	4.51533951	1.962527761	2
-50	-100	20	2.759876558	3.387839915	2
-50	-90	-10	0.934344043	3.106501158	2
-50	-90	0	3.639500924	1.688895839	2
-50	-90	10	1.230460094	2.920332603	2
-50	-90	20	1.435693548	2.438060824	2
-50	-80	-10	1.45933326	1.877629277	2
-50	-80	0	2.390299467	2.110815249	2
-50	-80	10	2.963709028	2.630473523	2
-50	-80	20	2.75455714	2.739888468	2
-50	-70	-10	2.823145922	2.070185538	2
-50	-70	0	5.018644669	1.539830036	2
-50	-70	10	2.482567731	2.493285839	2
-50	-70	20	4.045032355	2.391467809	2
-50	-60	-10	3.475319681	1.729361143	2
-50	-60	0	4.742907797	3.589339103	2
-50	-60	10	3.23852739	1.747316139	2
-50	-50	-10	3.002112524	2.204346898	2
-50	-50	0	5.426974097	2.862251589	2
-50	-50	10	5.238756256	2.532673811	2
-50	-40	-10	1.293377194	3.627133124	2
-50	-40	0	1.019810978	3.265247842	2
-50	-40	10	4.123436406	1.941510093	2
-50	-30	-10	4.288704544	3.25328941	2
-50	-30	0	3.681169659	1.878839602	2
-50	-30	10	2.777328924	2.864211255	2
-50	-20	-10	2.064070029	1.683813307	2
-50	-20	0	2.288970729	2.663238933	2
-50	-20	10	1.252052994	3.182931563	2
-50	-10	-10	1.931903237	3.580128399	2
-50	-10	0	4.893883221	2.045785405	2
-50	-10	10	1.056656954	3.699126525	2
-50	0	-10	0.646557834	2.526635923	2
-50	0	0	1.841524448	2.152705188	2
-50	0	10	3.530651114	3.35238643	2
-50	10	-10	3.931282817	3.45421443	2
-50	10	0	1.737660495	3.41317441	2
-50	10	10	5.205251539	2.966224601	2
-50	20	0	3.288627749	1.507374364	2
-50	20	10	2.91194733	2.074886941	2
-40	-130	0	0.60793898	1.692934749	2
-40	-130	10	2.103265036	1.66876665	2
-40	-120	0	3.472208553	2.826854219	2
-40	-120	10	1.081833111	1.958429482	2
-40	-120	20	2.771184648	3.533662826	2
-40	-110	-10	5.287549748	3.188056783	2
-40	-110	0	5.130375691	2.872397373	2
-40	-110	10	0.500220217	3.552491122	2
-40	-110	20	4.013622838	2.812007667	2
-40	-100	-10	0.633713622	1.73190914	2
-40	-100	0	3.994619786	2.562021783	2
-40	-100	10	1.903544807	2.367047638	2
-40	-100	20	1.496595555	2.187959157	2
-40	-90	-10	5.216620611	2.533172318	2
-40	-90	0	1.45866773	3.421716253	2
-40	-90	10	4.311005908	2.578786827	2
-40	-90	20	3.624852096	3.173148637	2
-40	-80	-10	1.190719466	3.102642313	2
-40	-80	0	2.587621536	3.612204214	2
-40	-80	10	2.802305041	2.022291327	2
-40	-80	20	2.890052854	3.402841722	2
-40	-70	-10	4.104421128	1.551768857	2
-40	-70	0	1.13873658	3.311399241	2
-40	-70	10	2.760667332	1.513426121	2
-40	-70	20	2.401389358	2.057045534	2
-40	-60	-10	4.033023114	2.986655101	2
-40	-60	0	2.84749454	2.689082392	2
-40	-60	10	4.496978441	2.576655173	2
-40	-50	-10	3.160169234	2.708037886	2
-40	-50	0	2.147630349	1.652434612	2
-40	-50	10	1.350719617	2.064864656	2
-40	-40	-10	4.127721776	3.594774033	2
-40	-40	0	1.228042444	1.885310297	2
-40	-40	10	2.983311504	2.403472777	2
-40	-30	-10	5.426390142	1.549719353	2
-40	-30	0	4.765374214	2.410943675	2
-40	-30	10	0.890346518	3.083784811	2
-40	-20	-10	1.042559058	3.411256524	2
-40	-20	0	4.309095471	1.596150004	2
-40	-20	10	5.458644394	2.230677472	2
-40	-10	-10	5.193266382	2.543088406	2
-40	-10	0	2.640424811	2.866721154	2
-40	-10	10	4.152011518	3.217649887	2
-40	0	-10	3.744452982	1.851866665	2
-40	0	0	2.301467632	2.580496563	2
-40	0	10	4.335913907	3.079307675	2
-40	10	-10	0.826934529	1.572223447	2
-40	10	0	3.33235912	2.139563044	2
-40	10	10	4.669416775	2.832734382	2
-40	20	0	1.038254683	1.659645779	2
-40	20	10	3.894631389	2.178359048	2
-30	-140	10	2.847435653	1.99513011	2
-30	-130	0	1.125263654	2.785587228	2
-30	-130	10	1.462218401	2.844478315	2
-30	-130	20	1.860836878	2.307245648	2
-30	-120	-10	5.477285206	2.420556802	2
-30	-120	0	2.247712535	2.156028191	2
-30	-120	10	2.925157329	2.576586125	2
-30	-120	20	3.800249743	3.258173774	2
-30	-110	-10	1.390475857	2.71534665	2
-30	-110	0	0.51589689	3.612045352	2
-30	-110	10	3.635983508	2.399163573	2
-30	-110	20	3.949049685	2.60664433	2
-30	-100	-10	0.634162838	2.359076144	2
-30	-100	0	3.271042578	3.63066571	2
-30	-100	10	2.56192901	1.523043971	2
-30	-100	20	1.48984425	1.790842836	2
-30	-90	-10	0.823418499	1.775322514	2
-30	-90	0	3.639232822	3.10971154	2
-30	-90	10	5.470078718	3.181445004	2
-30	-90	20	3.702238769	2.16225137	2
-30	-80	-10	3.607126176	3.537517528	2
-30	-80	0	1.266606546	2.057903387	2
-30	-80	10	5.207112067	2.857289617	2
-30	-80	20	3.885509634	2.013291301	2
-30	-70	-10	0.677707315	2.877938895	2
-30	-70	0	2.716754155	2.803127165	2
-30	-70	10	2.70545593	3.117195018	2
-30	-70	20	1.248069624	3.416852464	2
-30	-60	-10	4.432568599	2.617658192	2
-30	-60	0	4.410729069	3.336130374	2
-30	-60	10	3.38741348	2.074396412	2
-30	-60	20	5.005780667	2.299200532	2
-30	-50	-10	4.921123605	3.232423194	2
-30	-50	0	2.238767993	2.965962696	2
-30	-50	10	2.872272422	2.878533224	2
-30	-40	-10	2.997085571	2.603253654	2
-30	-40	0	2.592530149	2.428889763	2
-30	-40	10	1.046026481	2.218463673	2
-30	-30	-10	3.08554334	2.605568763	2
-30	-30	0	0.758750827	2.650065849	2
-30	-30	10	3.161750646	2.925017245	2
-30	-20	-10	1.370563276	1.894278472	2
-30	-20	0	3.461068784	2.321169662	2
-30	-20	10	3.646595225	2.627172142	2
-30	-10	-10	1.457396862	2.376994122	2
-30	-10	0	3.574946466	2.462295176	2
-30	-10	10	1.049829358	2.790061602	2
-30	0	-10	0.562287801	2.051508792	2
-30	0	0	0.839173208	2.205246038	2
-30	0	10	5.030779824	2.567610497	2
-30	10	-10	3.257322663	3.110127373	2
-30	10	0	0.778742104	3.128675231	2
-30	10	10	3.420791526	2.525246697	2
-30	20	0	4.07531487	3.255703314	2
-30	20	10	2.430740941	1.687775134	2
-20	-140	0	3.351952676	2.821146812	2
-20	-140	10	2.556953166	2.905673742	2
-20	-140	20	4.055278368	3.406578636	2
-20	-130	0	0.501567961	3.256264643	2
-20	-130	10	4.045253628	1.906746849	2
-20	-130	20	3.627338002	2.82853641	2
-20	-120	-10	3.935686697	3.078675018	2
-20	-120	0	4.385174806	1.598069426	2
-20	-120	10	1.674468679	3.554083973	2
-20	-120	20	3.035413124	3.24280131	2
-20	-110	-10	1.598241449	2.468589218	2
-20	-110	0	4.302894566	3.524497224	2
-20	-110	10	4.690403997	3.699046435	2
-20	-110	20	4.661280357	2.55805431	2
-20	-100	-10	0.615114665	2.724855876	2
-20	-100	0	4.520445173	3.571381884	2
-20	-100	10	2.023340574	3.007836752	2
-20	-100	20	4.827079984	2.510719941	2
-20	-90	-10	1.330687862	2.08162363	2
-20	-90	0	1.934910377	2.413448863	2
-20	-90	10	5.476121654	3.059671012	2
-20	-90	20	3.814172223	2.552113456	2
-20	-80	-10	5.261293102	2.786872741	2
-20	-80	0	0.751586783	2.762217393	2
-20	-80	10	1.594367934	3.63522886	2
-20	-80	20	1.390307535	1.678042619	2
-20	-70	-10	2.521482896	3.512148346	2
-20	-70	0	2.993602224	2.096860749	2
-20	-70	10	1.415937436	1.938505867	2
-20	-70	20	2.292621932	2.455035746	2
-20	-60	-10	4.087778041	1.660444708	2
-20	-60	0	0.543598291	2.176426373	2
-20	-60	10	2.342313341	1.535754154	2
-20	-60	20	5.30704397	3.428677403	2
-20	-50	-10	2.089228476	2.26293998	2
-20	-50	0	2.007480348	2.912979483	2
-20	-50	10	1.574709844	2.785870678	2
-20	-40	-10	3.09724822	1.883225636	2
-20	-40	0	0.687959167	3.122785436	2
-20	-40	10	4.944905784	3.554161635	2
-20	-30	-10	1.490218244	2.75063824	2
-20	-30	0	1.205502867	1.539207247	2
-20	-30	10	3.504585936	3.17282721	2
-20	-20	-10	1.362451423	1.961027985	2
-20	-20	0	3.061517054	1.875708959	2
-20	-20	10	1.294220471	2.516721765	2
-20	-10	-10	1.181271257	3.08425214	2
-20	-10	0	1.832878706	3.498812361	2
-20	-10	10	4.486575609	1.887861322	2
-20	0	-10	4.637521788	3.216223959	2
-20	0	0	3.433395521	1.728383467	2
-20	0	10	3.359938116	3.613430169	2
-20	10	-10	3.376447361	3.381842812	2
-20	10	0	2.600053646	3.497392099	2
-20	10	10	2.904146575	1.997399103	2
-20	20	0	3.385919845	2.223235929	2
-20	20	10	1.466539082	1.920138745	2
-10	-150	10	3.537842989	3.123664995	2
-10	-150	20	4.915375499	1.79461604	2
-10	-140	0	1.157052343	2.641153873	2
-10	-140	10	2.318553517	1.514782655	2
-10	-140	20	2.756849791	1.750451845	2
-10	-130	0	3.673191797	2.286933634	2
-10	-130	10	3.109883144	2.826318195	2
-10	-130	20	0.916917891	2.187693956	2
-10	-120	-10	4.167051274	1.941867859	2
-10	-120	0	3.421979439	3.513939574	2
-10	-120	10	3.301618382	3.039893741	2
-10	-120	20	3.50100839	1.995564729	2
-10	-110	-10	5.329257254	1.616024949	2
-10	-110	0	5.056890306	2.110604515	2
-10	-110	10	0.866129774	3.616493925	2
-10	-110	20	3.072119815	2.585010183	2
-10	-100	-10	1.11018529	3.556612143	2
-10	-100	0	2.018365274	2.451719297	2
-10	-100	10	1.348330212	2.94814994	2
-10	-100	20	1.990608035	2.170649787	2
-10	-90	-10	3.799910701	3.425788778	2
-10	-90	0	3.769970679	2.021830283	2
-10	-90	10	4.543007227	3.140129146	2
-10	-90	20	4.921364736	3.443534935	2
-10	-80	-10	5.015206035	3.498300737	2
-10	-80	0	5.05797243	3.096623313	2
-10	-80	10	4.509303425	1.630681414	2
-10	-80	20	2.715012699	3.181418877	2
-10	-70	-10	4.922354655	3.143589981	2
-10	-70	0	2.361482233	3.373614449	2
-10	-70	10	4.497885521	2.086566719	2
-10	-70	20	1.148007171	2.703397463	2
-10	-60	-10	2.310817301	3.034377889	2
-10	-60	0	0.640270568	2.007954636	2
-10	-60	10	3.204235228	2.543514558	2
-10	-60	20	1.671481006	3.655811494	2
-10	-50	-10	1.788766962	2.730411656	2
-10	-50	0	0.563811411	2.098779236	2
-10	-50	10	5.334542565	3.400947092	2
-10	-40	-10	4.944397901	1.881018044	2
-10	-40	0	0.862845052	2.075117062	2
-10	-40	10	2.311170836	2.344772844	2
-10	-30	-10	1.662206999	3.691598686	2
-10	-30	0	3.257627269	1.737898858	2
-10	-30	10	0.582960291	1.653147474	2
-10	-20	-10	2.573068557	2.250761451	2
-10	-20	0	4.086361528	2.421736597	2
-10	-20	10	1.478575512	1.74116727	2
-10	-10	-10	4.206082293	1.816679732	2
-10	-10	0	3.69930921	2.298532411	2
-10	-10	10	3.346496175	2.642329345	2
-10	0	-10	2.546259034	2.707735435	2
-10	0	0	4.440785296	2.828593674	2
-10	0	10	2.638422377	3.096738672	2
-10	10	-10	2.042672107	3.690212785	2
-10	10	0	4.741988378	3.626579241	2
-10	10	10	3.863619982	3.220927802	2
-10	20	0	4.127646049	1.80715313	2
-10	20	10	0.942083787	2.871472269	2
0	-150	0	1.437012197	1.630805903	2
0	-150	10	3.62007403	2.063952506	2
0	-150	20	4.933865796	3.346384938	2
0	-140	0	2.3191359	2.528943	2
0	-140	10	2.254080249	2.45701603	2
0	-140	20	4.075077497	2.920146586	2
0	-140	30	4.093882238	3.501553483	2
0	-130	0	3.951453526	3.582918346	2
0	-130	10	0.927030774	3.315912943	2
0	-130	20	2.982023179	3.469661463	2
0	-130	30	0.986160508	2.824819522	2
0	-120	-10	4.634819269	1.709022094	2
0	-120	0	3.003906123	2.929321738	2
0	-120	10	2.527133893	2.251172497	2
0	-120	20	5.392927257	2.568532328	2
0	-110	-10	3.146485042	3.051377652	2
0	-110	0	3.44152176	2.979670461	2
0	-110	10	2.825569131	1.786468509	2
0	-110	20	5.329655413	3.231373626	2
0	-100	-10	0.640845388	3.464469995	2
0	-100	0	1.320326611	2.841013384	2
0	-100	10	3.317515158	3.00826189	2
0	-100	20	3.519268879	2.663873562	2
0	-90	-10	4.880608647	2.978133801	2
0	-90	0	3.650916947	1.896338178	2
0	-90	10	2.890098749	3.1976381	2
0	-90	20	1.704153581	3.201163766	2
0	-80	-10	2.85237908	1.720985424	2
0	-80	0	3.523090984	2.566871205	2
0	-80	10	3.102736215	1.676042464	2
0	-80	20	0.870586562	3.540133133	2
0	-70	-10	1.50792744	2.395661734	2
0	-70	0	5.363224288	1.511443623	2
0	-70	10	0.976280827	3.334871732	2
0	-70	20	0.987506587	2.673643455	2
0	-60	-10	4.55961345	2.394453118	2
0	-60	0	4.749425333	3.454254538	2
0	-60	10	3.188596259	2.551622223	2
0	-60	20	2.569616787	3.338936876	2
0	-50	-10	4.770612482	3.376416912	2
0	-50	0	1.118410269	2.624904902	2
0	-50	10	3.607303538	3.266419211	2
0	-40	-10	3.332311168	2.622727392	2
0	-40	0	4.349383632	2.810917167	2
0	-40	10	1.291250908	3.024703179	2
0	-30	-10	1.098426661	2.126872545	2
0	-30	0	1.168045628	2.480667523	2
0	-30	10	4.014450395	3.395799479	2
0	-20	-10	1.122880085	3.12637247	2
0	-20	0	3.913049717	1.835157927	2
0	-20	10	2.789168293	2.452535353	2
0	-10	-10	3.719813625	1.749424633	2
0	-10	0	1.886195033	1.576574368	2
0	-10	10	4.843996457	3.184013228	2
0	0	-10	3.874894385	2.318788326	2
0	0	0	1.474364089	1.843873102	2
0	0	10	2.242541284	2.117741919	2
0	10	-10	4.669970559	2.401380758	2
0	10	0	5.070442041	3.214617305	2
0	10	10	3.878191276	3.634269932	2
0	20	0	1.634400447	3.545288048	2
0	20	10	0.957421117	2.153684788	2
10	-150	10	1.759761179	2.140907936	2
10	-150	20	4.348458883	2.940339263	2
10	-150	30	3.668618478	3.262083066	2
10	-140	0	1.279421461	2.964543137	2
10	-140	10	3.97944252	2.685360501	2
10	-140	20	2.791399592	2.542581884	2
10	-140	30	1.913839007	3.439719122	2
10	-130	0	3.030594502	1.865437491	2
10	-130	10	4.123888188	1.744569658	2
10	-130	20	1.30521427	1.773802525	2
10	-130	30	3.316257804	1.905519338	2
10	-120	0	2.560392539	2.920019879	2
10	-120	10	0.832038344	2.622614713	2
10	-120	20	5.470931711	2.5481801	2
10	-120	30	2.723617376	1.925433793	2
10	-110	-10	4.885245516	2.48113134	2
10	-110	0	3.833400081	2.821011028	2
10	-110	10	4.957356282	3.330136697	2
10	-110	20	3.61123154	3.436267569	2
10	-110	30	4.88634537	2.392243136	2
10	-100	-10	4.137717831	1.975442935	2
10	-100	0	2.150565871	2.392732353	2
10	-100	10	0.514251963	2.709294121	2
10	-100	20	2.546546286	2.832489138	2
10	-100	30	1.431829574	2.651791677	2
10	-90	-10	5.380541998	2.288078547	2
10	-90	0	3.381756915	1.940302815	2
10	-90	10	1.159245863	2.143915849	2
10	-90	20	4.169175059	3.1912548	2
10	-80	-10	2.949432386	2.966820026	2
10	-80	0	3.515115254	2.893068498	2
10	-80	10	1.609254108	2.862039481	2
10	-80	20	4.881093656	2.840419617	2
10	-70	-10	1.390249826	1.728672489	2
10	-70	0	4.692741683	2.325072126	2
10	-70	10	4.899563535	2.373352633	2
10	-70	20	1.594024014	2.508383971	2
10	-60	-10	2.595234447	2.26552914	2
10	-60	0	1.212486637	3.046818286	2
10	-60	10	2.360420321	1.68400592	2
10	-60	20	1.599408836	2.796212092	2
10	-50	-10	4.607845166	1.839262104	2
10	-50	0	2.204915375	3.44386968	2
10	-50	10	1.381105966	2.977471906	2
10	-50	20	2.794228421	1.695204361	2
10	-40	-10	4.228277085	3.481227384	2
10	-40	0	5.288783944	2.698574335	2
10	-40	10	1.114970643	2.377796726	2
10	-40	20	2.443819906	2.370910869	2
10	-30	-10	3.32009616	2.152703196	2
10	-30	0	3.819708447	2.977988286	2
10	-30	10	2.478705191	2.967957081	2
10	-20	-10	3.013935353	2.970557559	2
10	-20	0	4.363055471	1.965890138	2
10	-20	10	0.855338747	3.215057545	2
10	-10	-10	4.924940614	3.12940854	2
10	-10	0	2.069412493	1.507359488	2
10	-10	10	4.851262932	2.693839964	2
10	0	-10	4.374978167	2.980616	2
10	0	0	5.215068783	2.496334775	2
10	0	10	1.750151058	2.084867399	2
10	10	-10	5.36439402	2.836229111	2
10	10	0	5.405347836	1.627087381	2
10	10	10	4.729266983	2.033804441	2
10	20	-10	5.218399222	3.28859472	2
10	20	0	1.00222342	2.985992123	2
10	20	10	1.292043448	3.453297336	2
10	30	0	2.804220441	2.255673658	2
10	30	10	4.871626862	3.126225792	2
20	-160	20	4.784545273	2.112028893	2
20	-150	10	2.545964263	2.03531944	2
20	-150	20	1.871076189	2.701000213	2
20	-150	30	0.800267395	2.677015427	2
20	-140	0	0.701720215	2.678831894	2
20	-140	10	3.337476638	1.729937083	2
20	-140	20	4.383926231	1.642285646	2
20	-140	30	1.770084695	2.321485985	2
20	-130	0	2.165960862	3.598175895	2
20	-130	10	2.69555624	3.056706564	2
20	-130	20	4.297195025	2.955558283	2
20	-130	30	2.984324904	1.595546293	2
20	-120	0	1.92372586	2.030039537	2
20	-120	10	0.649366698	1.610993428	2
20	-120	20	4.507096069	3.634443156	2
20	-120	30	3.465489563	3.419946684	2
20	-110	0	3.009813652	2.400247319	2
20	-110	10	1.117524694	3.100107493	2
20	-110	20	1.288765874	2.961761171	2
20	-110	30	3.612539798	2.691512927	2
20	-100	-10	2.133092824	3.328599197	2
20	-100	0	4.196789208	3.393447631	2
20	-100	10	3.135254837	2.030993064	2
20	-100	20	1.006806242	1.983751215	2
20	-100	30	1.267564932	1.595083079	2
20	-90	-10	0.809182636	2.89426276	2
20	-90	0	3.369497228	2.74482275	2
20	-90	10	1.409009343	1.681197688	2
20	-90	20	2.506934034	2.337124134	2
20	-90	30	1.077575559	2.82184492	2
20	-80	-10	3.23730384	2.590361208	2
20	-80	0	4.694628925	3.08602574	2
20	-80	10	3.320441918	3.31917591	2
20	-80	20	3.118822282	2.731187754	2
20	-70	-10	3.352533055	2.841197577	2
20	-70	0	4.38684367	1.741747581	2
20	-70	10	0.663460976	3.504995109	2
20	-70	20	3.258128076	3.62726257	2
20	-60	-10	3.001914454	2.610583338	2
20	-60	0	2.300021691	2.342770723	2
20	-60	10	0.623445235	1.647554886	2
20	-60	20	0.765085034	2.597578435	2
20	-50	-10	1.621260493	2.371590621	2
20	-50	0	0.516533356	2.057952059	2
20	-50	10	5.325208517	1.939599274	2
20	-50	20	4.550395478	3.561673815	2
20	-40	-10	4.278155085	2.052248519	2
20	-40	0	3.751613875	2.191773139	2
20	-40	10	1.078984241	3.068659551	2
20	-40	20	2.566593085	2.835252363	2
20	-30	-10	2.868341342	3.395578112	2
20	-30	0	4.905469502	2.048831929	2
20	-30	10	2.448193572	3.627822087	2
20	-20	-10	4.713598448	2.297714163	2
20	-20	0	0.93468375	2.861993825	2
20	-20	10	1.49318222	1.525673752	2
20	-10	-10	3.561065441	3.320075611	2
20	-10	0	4.761764194	3.540143686	2
20	-10	10	5.434325391	3.255967542	2
20	0	-10	4.277162942	3.164188178	2
20	0	0	2.213827245	2.254138586	2
20	0	10	1.171737599	2.568784535	2
20	10	-10	2.802086761	2.843789338	2
20	10	0	1.916781626	1.745389018	2
20	10	10	2.897863532	2.438824122	2
20	20	-10	0.635891106	1.738245104	2
20	20	0	4.780595055	3.448885667	2
20	20	10	1.621883569	3.116345208	2
20	30	-10	4.566918724	2.893935963	2
